spend_date,channel,campaign,spend_amount,clicks
2026-01-01,Meta Ads,Meta_JAN,5378.72,345
2026-01-01,Email,Email_JAN,4264.61,268
2026-01-01,SEO,SEO_JAN,3875.54,308
2026-01-02,Meta Ads,Meta_JAN,2399.93,173
2026-01-02,Google Ads,Google_JAN,7185.21,293
2026-01-03,SEO,SEO_JAN,10328.37,471
2026-01-03,Google Ads,Google_JAN,5895.64,344
2026-01-04,SEO,SEO_JAN,4637.95,315
2026-01-04,Meta Ads,Meta_JAN,10466.37,1218
2026-01-04,Influencer,Influencer_JAN,7497.81,446
2026-01-05,Google Ads,Google_JAN,3315.23,134
2026-01-05,Influencer,Influencer_JAN,11707.73,538
2026-01-06,Google Ads,Google_JAN,2322.87,118
2026-01-06,Influencer,Influencer_JAN,3620.15,164
2026-01-07,SEO,SEO_JAN,4857.37,238
2026-01-07,Email,Email_JAN,9977.11,1052
2026-01-08,SEO,SEO_JAN,6956.73,294
2026-01-08,Email,Email_JAN,1629.82,81
2026-01-08,Meta Ads,Meta_JAN,7669.55,360
2026-01-09,Influencer,Influencer_JAN,3056.1,169
2026-01-09,Meta Ads,Meta_JAN,9462.96,394
2026-01-10,SEO,SEO_JAN,9750.33,428
2026-01-10,Google Ads,Google_JAN,10741.43,468
2026-01-11,Influencer,Influencer_JAN,7894.1,913
2026-01-11,SEO,SEO_JAN,4391.85,420
2026-01-11,Email,Email_JAN,7890.88,398
2026-01-12,Influencer,Influencer_JAN,8750.39,990
2026-01-12,Email,Email_JAN,6489.79,516
2026-01-13,Google Ads,Google_JAN,4764.97,213
2026-01-13,Email,Email_JAN,10511.47,535
2026-01-13,Meta Ads,Meta_JAN,11711.21,986
2026-01-14,Influencer,Influencer_JAN,9152.39,500
2026-01-14,Email,Email_JAN,2437.51,157
2026-01-14,Meta Ads,Meta_JAN,11091.04,743
2026-01-15,SEO,SEO_JAN,6910.33,645
2026-01-15,Email,Email_JAN,4766.79,286
2026-01-15,Google Ads,Google_JAN,2924.32,130
2026-01-16,Meta Ads,Meta_JAN,10689.4,936
2026-01-16,SEO,SEO_JAN,2105.09,245
2026-01-17,Email,Email_JAN,4376.76,198
2026-01-17,Meta Ads,Meta_JAN,6803.83,361
2026-01-18,Google Ads,Google_JAN,5410.9,298
2026-01-18,Meta Ads,Meta_JAN,3364.63,147
2026-01-19,Email,Email_JAN,9364.09,475
2026-01-19,Meta Ads,Meta_JAN,4493.23,308
2026-01-19,Influencer,Influencer_JAN,3210.53,181
2026-01-20,Meta Ads,Meta_JAN,8615.8,685
2026-01-20,SEO,SEO_JAN,5799.83,695
2026-01-21,Influencer,Influencer_JAN,8297.4,455
2026-01-21,Meta Ads,Meta_JAN,1588.87,129
2026-01-22,Email,Email_JAN,10441.65,660
2026-01-22,Influencer,Influencer_JAN,3791.2,288
2026-01-22,Meta Ads,Meta_JAN,6966.7,374
2026-01-23,Google Ads,Google_JAN,7395.3,408
2026-01-23,Email,Email_JAN,4468.11,227
2026-01-24,Google Ads,Google_JAN,8226.24,363
2026-01-24,Email,Email_JAN,4242.04,211
2026-01-24,Meta Ads,Meta_JAN,10869.92,831
2026-01-25,SEO,SEO_JAN,10946.71,504
2026-01-25,Meta Ads,Meta_JAN,9924.82,545
2026-01-26,Meta Ads,Meta_JAN,6722.41,516
2026-01-26,Google Ads,Google_JAN,11022.57,740
2026-01-26,Email,Email_JAN,9235.69,515
2026-01-27,Email,Email_JAN,8706.34,461
2026-01-27,Meta Ads,Meta_JAN,6495.22,270
2026-01-28,SEO,SEO_JAN,10326.71,450
2026-01-28,Email,Email_JAN,3401.93,352
2026-01-28,Google Ads,Google_JAN,2843.41,229
2026-01-29,Email,Email_JAN,3833.66,324
2026-01-29,Google Ads,Google_JAN,10650.04,703
2026-01-30,Email,Email_JAN,4587.54,204
2026-01-30,SEO,SEO_JAN,6440.63,283
2026-01-30,Influencer,Influencer_JAN,7627.53,317
2026-01-31,Influencer,Influencer_JAN,6755.01,296
2026-01-31,Meta Ads,Meta_JAN,5507.53,421
2026-02-01,Meta Ads,Meta_FEB,11919.65,862
2026-02-01,SEO,SEO_FEB,11865.51,511
2026-02-02,Meta Ads,Meta_FEB,3393.75,362
2026-02-02,Email,Email_FEB,4992.61,201
2026-02-02,Influencer,Influencer_FEB,4790.85,533
2026-02-03,Email,Email_FEB,7550.93,706
2026-02-03,Meta Ads,Meta_FEB,9744.71,458
2026-02-03,Google Ads,Google_FEB,2858.76,185
2026-02-04,Influencer,Influencer_FEB,5524.82,639
2026-02-04,SEO,SEO_FEB,3593.85,250
2026-02-04,Meta Ads,Meta_FEB,1647.81,122
2026-02-05,Google Ads,Google_FEB,8080.21,660
2026-02-05,SEO,SEO_FEB,8782.01,633
2026-02-06,Google Ads,Google_FEB,6785.03,513
2026-02-06,Influencer,Influencer_FEB,2185.51,248
2026-02-07,Influencer,Influencer_FEB,10823.73,434
2026-02-07,Email,Email_FEB,5098.69,218
2026-02-07,Meta Ads,Meta_FEB,5272.13,470
2026-02-08,Google Ads,Google_FEB,9135.27,892
2026-02-08,Meta Ads,Meta_FEB,9207.8,510
2026-02-08,SEO,SEO_FEB,3274.34,230
2026-02-09,Influencer,Influencer_FEB,9598.12,516
2026-02-09,Email,Email_FEB,7736.2,877
2026-02-10,Google Ads,Google_FEB,8742.37,579
2026-02-10,SEO,SEO_FEB,5492.66,317
2026-02-11,Meta Ads,Meta_FEB,8700.27,1066
2026-02-11,SEO,SEO_FEB,5919.15,609
2026-02-11,Email,Email_FEB,6963.25,374
2026-02-12,Influencer,Influencer_FEB,6871.64,371
2026-02-12,Google Ads,Google_FEB,4468.42,209
2026-02-13,Meta Ads,Meta_FEB,10230.74,416
2026-02-13,SEO,SEO_FEB,5258.18,351
